replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,1,p1,500,0,0,10
1,2,p1,157,4.4444e-07,0.0265163,10
1,3,p1,122,6.5305e-07,-0.00223957,10
1,4,p1,117,5.95734e-07,0.0044794,10
1,5,p1,152,7.21304e-07,-0.0187007,10
1,6,p1,152,1.30583e-06,0.0480567,10
1,7,p1,124,1.66786e-06,0.102473,10
1,8,p1,95,1.35679e-06,0.014033,10
1,9,p1,142,1.80619e-06,0.048599,10
1,10,p1,125,2.3712e-06,0.0267886,10
1,11,p1,148,1.79396e-06,0.0920462,10
1,12,p1,146,2.92972e-06,0.0310516,10
1,13,p1,108,2.80221e-06,-0.0150398,10
1,14,p1,108,1.83128e-06,0.00762959,10
1,15,p1,148,4.17869e-06,0.0814983,10
1,16,p1,158,4.26755e-06,0.0451524,10
1,17,p1,132,4.2803e-06,0.058881,10
1,18,p1,136,4.53882e-06,0.196143,10
1,19,p1,138,3.17659e-06,0.141104,10
1,20,p1,118,4.40032e-06,0.204969,10
1,21,p1,168,4.80903e-06,0.16724,10
1,22,p1,115,6.38601e-06,0.13892,10
1,23,p1,172,5.8148e-06,0.0586191,10
1,24,p1,116,5.61757e-06,0.0627625,10
1,25,p1,91,4.59667e-06,0.0475083,10
1,26,p1,152,4.61349e-06,0.0688786,10
1,27,p1,110,3.53223e-06,-0.0419876,10
1,28,p1,123,4.30795e-06,-0.0721943,10
1,29,p1,114,4.14628e-06,-0.00149986,10
1,30,p1,117,4.81774e-06,-0.0314178,10
1,31,p1,154,5.44506e-06,-0.137339,10
1,32,p1,118,5.69018e-06,-0.15453,10
1,33,p1,109,6.59414e-06,-0.0822183,10
1,34,p1,178,9.05236e-06,-0.0477461,10
1,35,p1,148,8.3535e-06,0.021875,10
1,36,p1,106,5.95808e-06,0.172579,10
1,37,p1,151,8.01566e-06,0.128419,10
1,38,p1,145,6.1698e-06,-0.0201876,10
1,39,p1,122,5.93221e-06,-0.041338,10
1,40,p1,168,5.33943e-06,-0.00627061,10
1,41,p1,154,7.11039e-06,0.055159,10
1,42,p1,109,6.02895e-06,0.0455204,10
1,43,p1,113,4.51053e-06,-0.0249156,10
1,44,p1,143,6.29346e-06,0.0299995,10
1,45,p1,133,5.83413e-06,0.0600917,10
1,46,p1,157,5.36675e-06,0.00904796,10
1,47,p1,122,6.63766e-06,0.160036,10
1,48,p1,103,6.85267e-06,0.127308,10
1,49,p1,155,6.70094e-06,0.185443,10
1,50,p1,163,6.38677e-06,0.19781,10
1,51,p1,97,8.19747e-06,0.476314,10
1,52,p1,124,6.14529e-06,0.300706,10
1,53,p1,178,8.16927e-06,0.363131,10
1,54,p1,76,1.15287e-05,0.67827,10
1,55,p1,112,8.55628e-06,0.352966,10
1,56,p1,123,8.98143e-06,0.414603,10
1,57,p1,122,1.11143e-05,0.537309,10
1,58,p1,119,8.71478e-06,0.549856,10
1,59,p1,180,9.2179e-06,0.387441,10
1,60,p1,128,1.18671e-05,0.666479,10
1,61,p1,114,8.42721e-06,0.538635,10
1,62,p1,140,1.03768e-05,0.635131,10
1,63,p1,179,1.13698e-05,0.767996,10
1,64,p1,113,1.02436e-05,0.76001,10
1,65,p1,178,1.0894e-05,0.697662,10
1,66,p1,179,9.65263e-06,0.504291,10
1,67,p1,97,1.37422e-05,0.919785,10
1,68,p1,151,1.15284e-05,0.822313,10
1,69,p1,150,1.41251e-05,0.705599,10
1,70,p1,94,1.36346e-05,0.546616,10
1,71,p1,126,1.5269e-05,0.827595,10
1,72,p1,126,1.34366e-05,0.4392,10
1,73,p1,130,1.57444e-05,0.35288,10
1,74,p1,156,1.52817e-05,0.505102,10
1,75,p1,113,1.00392e-05,0.141721,10
1,76,p1,149,1.03209e-05,0.14609,10
1,77,p1,145,1.40787e-05,0.0649545,10
1,78,p1,111,1.28512e-05,0.164274,10
1,79,p1,151,1.38957e-05,0.136104,10
1,80,p1,130,1.17459e-05,0.178335,10
1,81,p1,115,1.57989e-05,0.0957763,10
1,82,p1,124,1.71599e-05,0.0922402,10
1,83,p1,142,1.81455e-05,0.182991,10
1,84,p1,151,1.58008e-05,0.354414,10
1,85,p1,140,1.73862e-05,0.266215,10
1,86,p1,118,1.98276e-05,0.540833,10
1,87,p1,133,1.77757e-05,0.469913,10
1,88,p1,141,1.96917e-05,0.317633,10
1,89,p1,142,2.04421e-05,0.284758,10
1,90,p1,135,2.43465e-05,0.650955,10
1,91,p1,145,2.26285e-05,0.43067,10
1,92,p1,135,2.33781e-05,0.44304,10
1,93,p1,124,2.19059e-05,0.60672,10
1,94,p1,109,2.36727e-05,0.704277,10
1,95,p1,141,2.36497e-05,0.490786,10
1,96,p1,208,2.61251e-05,0.55001,10
1,97,p1,126,2.6056e-05,0.685253,10
1,98,p1,150,2.72624e-05,0.789544,10
1,99,p1,190,2.57184e-05,0.504857,10
1,100,p1,115,2.81187e-05,0.722737,10
1,101,p1,87,2.9132e-05,0.554931,10
1,102,p1,176,2.82112e-05,0.613787,10
1,103,p1,140,2.78982e-05,0.5047,10
1,104,p1,120,2.86615e-05,0.582358,10
1,105,p1,131,3.04306e-05,0.626106,10
1,106,p1,190,2.77136e-05,0.699568,10
1,107,p1,104,3.1446e-05,0.349403,10
1,108,p1,93,3.29732e-05,0.372496,10
1,109,p1,130,3.16322e-05,0.277366,10
1,110,p1,95,2.98316e-05,0.0669846,10
1,111,p1,135,2.93292e-05,0.123701,10
1,112,p1,102,2.94459e-05,0.0399192,10
1,113,p1,146,2.91326e-05,-0.280278,10
1,114,p1,174,3.1233e-05,0.0841366,10
1,115,p1,130,2.94864e-05,0.125325,10
1,116,p1,146,2.756e-05,-0.0273174,10
1,117,p1,143,2.89557e-05,0.0341655,10
1,118,p1,128,2.78702e-05,0.208143,10
1,119,p1,139,2.73293e-05,0.266698,10
1,120,p1,168,2.94184e-05,0.393441,10
1,121,p1,132,2.54832e-05,0.109697,10
1,122,p1,139,2.27411e-05,0.0304432,10
1,123,p1,143,2.29909e-05,-0.0354009,10
1,124,p1,122,2.05993e-05,0.14221,10
1,125,p1,145,2.22483e-05,0.189043,10
1,126,p1,122,2.18977e-05,-0.168024,10
1,127,p1,159,2.03075e-05,-0.142684,10
1,128,p1,136,1.57196e-05,-0.125015,10
1,129,p1,143,1.85845e-05,-0.205064,10
1,130,p1,140,1.98816e-05,-0.0728498,10
1,131,p1,168,1.99865e-05,-0.1483,10
1,132,p1,109,2.13736e-05,-0.334641,10
1,133,p1,133,1.91139e-05,-0.342784,10
1,134,p1,91,1.93678e-05,-0.164617,10
1,135,p1,162,1.89702e-05,-0.22903,10
1,136,p1,177,1.9368e-05,-0.273439,10
1,137,p1,82,1.90355e-05,-0.135245,10
1,138,p1,100,2.04155e-05,-0.22903,10
1,139,p1,177,1.90298e-05,-0.0587232,10
1,140,p1,186,2.35357e-05,-0.179513,10
1,141,p1,105,2.02376e-05,-0.116616,10
1,142,p1,104,2.23276e-05,-0.288416,10
1,143,p1,188,2.22125e-05,-0.376776,10
1,144,p1,157,2.26999e-05,-0.324262,10
1,145,p1,90,1.97957e-05,-0.146451,10
1,146,p1,125,2.33658e-05,-0.313492,10
1,147,p1,135,1.99929e-05,-0.299685,10
1,148,p1,150,2.34262e-05,-0.250456,10
1,149,p1,150,2.30884e-05,-0.276387,10
1,150,p1,151,2.54289e-05,-0.23809,10
1,151,p1,126,2.77129e-05,-0.191573,10
1,152,p1,148,2.6331e-05,-0.170448,10
1,153,p1,108,2.6127e-05,-0.354198,10
1,154,p1,177,2.83742e-05,-0.625257,10
1,155,p1,101,3.27497e-05,-0.563698,10
1,156,p1,161,3.13678e-05,-0.610751,10
1,157,p1,158,3.71461e-05,-0.594422,10
1,158,p1,122,3.6384e-05,-0.76662,10
1,159,p1,104,3.79114e-05,-1.13629,10
1,160,p1,141,3.80854e-05,-1.34534,10
1,161,p1,165,4.09776e-05,-1.26623,10
1,162,p1,123,4.15883e-05,-1.45112,10
1,163,p1,72,4.21817e-05,-1.31346,10
1,164,p1,138,4.27148e-05,-1.1476,10
1,165,p1,170,4.25163e-05,-1.06966,10
1,166,p1,128,4.22403e-05,-1.28652,10
1,167,p1,82,4.18315e-05,-1.11545,10
1,168,p1,175,4.12431e-05,-0.718651,10
1,169,p1,188,3.93212e-05,-0.4751,10
1,170,p1,145,4.18759e-05,-0.900868,10
1,171,p1,169,4.12564e-05,-0.658727,10
1,172,p1,149,3.84379e-05,-0.638284,10
1,173,p1,104,3.7855e-05,-0.324121,10
1,174,p1,196,3.85705e-05,-0.351801,10
1,175,p1,133,3.90494e-05,-0.502142,10
1,176,p1,110,4.16831e-05,-0.489903,10
1,177,p1,111,4.12548e-05,-0.316817,10
1,178,p1,143,3.87745e-05,-0.348201,10
1,179,p1,146,3.84289e-05,-0.252858,10
1,180,p1,136,4.18912e-05,-0.22775,10
1,181,p1,161,3.89809e-05,-0.136342,10
1,182,p1,91,4.09262e-05,-0.258864,10
1,183,p1,144,3.64916e-05,-0.134144,10
1,184,p1,95,3.33806e-05,-0.047154,10
1,185,p1,149,3.988e-05,-0.493952,10
1,186,p1,93,4.09891e-05,-0.399863,10
1,187,p1,135,4.18516e-05,-0.123872,10
1,188,p1,142,3.82846e-05,-0.408736,10
1,189,p1,148,3.68442e-05,-0.298836,10
1,190,p1,119,3.99047e-05,-0.348092,10
1,191,p1,157,3.50424e-05,-0.0284368,10
1,192,p1,156,3.51847e-05,-0.387157,10
1,193,p1,111,4.10133e-05,0.0410667,10
1,194,p1,160,4.12986e-05,-0.168478,10
1,195,p1,167,3.76763e-05,-0.318292,10
1,196,p1,144,3.62025e-05,-0.0448087,10
1,197,p1,108,3.70649e-05,-0.145091,10
1,198,p1,165,4.19254e-05,-0.529398,10
1,199,p1,132,3.91153e-05,-0.392072,10
1,200,p1,150,3.99576e-05,-0.361623,10
1,201,p1,177,4.05752e-05,-0.458644,10
1,202,p1,90,4.48821e-05,-0.905608,10
1,203,p1,153,4.43043e-05,-0.634965,10
1,204,p1,118,4.39787e-05,-0.792739,10
1,205,p1,142,4.00714e-05,-0.685815,10
1,206,p1,152,4.27231e-05,-0.858287,10
1,207,p1,158,4.35313e-05,-0.758277,10
1,208,p1,166,3.8748e-05,-0.61214,10
