replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,1,p1,500,0,0,100
1,2,p1,195,7.67258e-07,0.0120167,100
1,3,p1,104,1.05261e-06,0.0210102,100
1,4,p1,95,1.67424e-06,0.030663,100
1,5,p1,177,1.62389e-06,1.04976e-05,100
1,6,p1,139,2.04777e-06,-0.00489535,100
1,7,p1,116,2.87158e-06,-0.0607172,100
1,8,p1,150,2.42022e-06,0.0803464,100
1,9,p1,97,3.19481e-06,0.0596445,100
1,10,p1,133,2.94873e-06,0.00187372,100
1,11,p1,157,4.19895e-06,0.0229429,100
1,12,p1,144,3.85151e-06,0.111567,100
1,13,p1,135,3.98546e-06,0.05307,100
1,14,p1,113,3.22813e-06,0.0406734,100
1,15,p1,157,3.70644e-06,-0.0270314,100
1,16,p1,106,4.22214e-06,0.160249,100
1,17,p1,146,3.69394e-06,0.111504,100
1,18,p1,166,4.22975e-06,0.0884025,100
1,19,p1,109,3.97652e-06,0.0896855,100
1,20,p1,160,4.075e-06,0.0785921,100
1,21,p1,179,4.96536e-06,0.0267992,100
1,22,p1,111,3.99643e-06,0.0555983,100
1,23,p1,143,4.71319e-06,0.0868375,100
1,24,p1,171,4.67768e-06,0.124216,100
1,25,p1,154,5.58737e-06,0.407466,100
1,26,p1,118,6.73334e-06,0.427255,100
1,27,p1,170,7.37024e-06,0.366239,100
1,28,p1,155,8.13923e-06,0.429749,100
1,29,p1,105,9.761e-06,0.472127,100
1,30,p1,131,8.00274e-06,0.331181,100
1,31,p1,135,7.95418e-06,0.443208,100
1,32,p1,99,9.30313e-06,0.396485,100
1,33,p1,148,8.10331e-06,0.355057,100
1,34,p1,96,8.04742e-06,0.344395,100
1,35,p1,133,8.45723e-06,0.343877,100
1,36,p1,152,1.07235e-05,0.441051,100
1,37,p1,145,1.09869e-05,0.389911,100
1,38,p1,103,8.81233e-06,0.525319,100
1,39,p1,142,1.01433e-05,0.575135,100
1,40,p1,148,9.77652e-06,0.554418,100
1,41,p1,120,7.60799e-06,0.490946,100
1,42,p1,127,8.5771e-06,0.556315,100
1,43,p1,124,9.30964e-06,0.53612,100
1,44,p1,158,1.00242e-05,0.561757,100
1,45,p1,152,9.74918e-06,0.749562,100
1,46,p1,149,1.11934e-05,0.782053,100
1,47,p1,116,1.19683e-05,0.807817,100
1,48,p1,132,1.38289e-05,0.954708,100
1,49,p1,146,1.30564e-05,0.875728,100
1,50,p1,86,1.481e-05,1.08723,100
1,51,p1,128,1.66031e-05,1.17216,100
1,52,p1,167,1.6516e-05,1.09398,100
1,53,p1,118,1.58022e-05,0.76787,100
1,54,p1,93,1.71846e-05,0.914278,100
1,55,p1,180,1.50451e-05,0.910991,100
1,56,p1,134,1.65374e-05,1.09503,100
1,57,p1,168,1.72851e-05,0.85678,100
1,58,p1,93,1.81235e-05,1.14057,100
1,59,p1,169,1.75059e-05,1.15879,100
1,60,p1,92,1.71148e-05,0.951293,100
1,61,p1,157,1.79214e-05,1.02475,100
1,62,p1,174,1.90686e-05,1.24203,100
1,63,p1,139,2.14391e-05,1.05998,100
1,64,p1,122,1.98492e-05,1.12507,100
1,65,p1,123,1.91797e-05,1.1803,100
1,66,p1,162,1.92002e-05,1.11764,100
1,67,p1,143,1.79295e-05,0.89936,100
1,68,p1,145,1.68787e-05,1.00167,100
1,69,p1,162,1.99836e-05,1.06318,100
1,70,p1,103,2.00066e-05,1.05415,100
1,71,p1,116,1.9521e-05,1.34766,100
1,72,p1,134,2.12767e-05,1.09502,100
1,73,p1,117,2.04062e-05,1.40789,100
1,74,p1,119,1.88098e-05,1.25686,100
1,75,p1,90,1.86475e-05,1.08244,100
1,76,p1,146,1.98698e-05,1.22055,100
1,77,p1,121,2.04802e-05,0.987484,100
1,78,p1,152,1.81774e-05,0.866371,100
