replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,5050,p3,1194,0.0112758,-9.88512,-10
1,5100,p3,1205,0.00572457,-10.0503,-10
1,5150,p3,1090,0.00426845,-9.99161,-10
1,5200,p3,1079,0.0036892,-10.1375,-10
1,5250,p3,1139,0.00444004,-10.0394,-10
1,5300,p3,1181,0.00530057,-10.2848,-10
1,5350,p3,1211,0.0060529,-10.0428,-10
1,5400,p3,1201,0.00662718,-9.75988,-10
1,5450,p3,1142,0.00745316,-9.89436,-10
1,5500,p3,1270,0.00781229,-9.79609,-10
1,5550,p3,1079,0.00863348,-10.4372,-10
1,5600,p3,1205,0.00915699,-10.2325,-10
