replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,5050,p3,131,3.62112e-05,9.78817,-10
1,5100,p3,132,2.38829e-05,9.32619,-10
1,5150,p3,136,4.14665e-05,5.11407,-10
1,5200,p3,1356,3.14189e-05,-8.69874,-10
1,5250,p3,1345,5.16517e-05,-9.73161,-10
1,5300,p3,1316,6.12826e-05,-10.1077,-10
1,5350,p3,1381,7.20458e-05,-10.0622,-10
1,5400,p3,1291,8.33053e-05,-10.0906,-10
1,5450,p3,1224,8.8572e-05,-10.0399,-10
1,5500,p3,1387,9.95064e-05,-10.1656,-10
1,5550,p3,1263,0.000105087,-10.21,-10
1,5600,p3,1454,0.000114465,-10.1596,-10
