replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,5050,p3,121,3.76443e-05,0.866639,-100
1,5100,p3,142,3.13117e-05,2.24705,-100
1,5150,p3,146,3.14466e-05,3.107,-100
1,5200,p3,172,2.86777e-05,2.36774,-100
1,5250,p3,168,3.88e-05,1.56818,-100
1,5300,p3,170,4.38417e-05,4.94109,-100
1,5350,p3,128,7.08981e-05,5.42097,-100
1,5400,p3,123,7.18365e-05,3.84017,-100
1,5450,p3,125,8.18054e-05,1.56044,-100
1,5500,p3,132,8.32194e-05,2.12763,-100
1,5550,p3,154,7.26164e-05,3.32338,-100
1,5600,p3,122,9.60709e-05,0.615809,-100
