replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,1,p1,500,0,0,10
1,2,p1,222,8.98872e-07,-0.0338523,10
1,3,p1,96,1.24349e-06,-0.00252823,10
1,4,p1,113,1.57804e-06,-0.0534468,10
1,5,p1,160,1.30371e-06,-0.0335817,10
1,6,p1,150,3.08067e-06,-0.0212674,10
1,7,p1,115,2.30586e-06,-0.0427386,10
1,8,p1,146,3.29354e-06,-0.0803424,10
1,9,p1,167,2.60318e-06,-0.0436327,10
1,10,p1,100,4.0225e-06,-0.033232,10
1,11,p1,133,3.84476e-06,0.0452045,10
1,12,p1,143,5.30735e-06,0.0520164,10
1,13,p1,122,4.01371e-06,0.0569656,10
1,14,p1,120,5.51528e-06,0.200745,10
1,15,p1,115,4.59433e-06,0.189641,10
1,16,p1,173,5.60777e-06,0.0896689,10
1,17,p1,181,5.15232e-06,0.242478,10
1,18,p1,139,6.46732e-06,0.285321,10
1,19,p1,107,6.56127e-06,0.178599,10
1,20,p1,130,4.96272e-06,0.19153,10
1,21,p1,166,5.03175e-06,0.12145,10
1,22,p1,120,5.95174e-06,0.214718,10
1,23,p1,122,4.64391e-06,-0.0175107,10
1,24,p1,108,4.41058e-06,0.00810103,10
1,25,p1,163,6.06082e-06,-0.016956,10
1,26,p1,167,3.00495e-06,0.0102815,10
1,27,p1,164,3.75874e-06,-0.0163862,10
1,28,p1,110,3.4781e-06,-0.0143359,10
1,29,p1,143,4.5413e-06,-0.0872467,10
1,30,p1,127,4.62862e-06,0.0364984,10
1,31,p1,165,5.29605e-06,-0.0348908,10
1,32,p1,131,5.01836e-06,0.0207729,10
1,33,p1,130,5.04201e-06,0.0275039,10
1,34,p1,108,5.1989e-06,0.0464622,10
1,35,p1,125,6.59968e-06,0.167036,10
1,36,p1,122,7.06665e-06,0.202189,10
1,37,p1,171,7.0579e-06,0.178366,10
1,38,p1,122,7.31255e-06,0.0955574,10
1,39,p1,155,7.33424e-06,0.0885754,10
1,40,p1,105,8.17506e-06,-0.0829678,10
1,41,p1,145,7.38644e-06,0.165664,10
1,42,p1,146,8.47837e-06,0.048521,10
1,43,p1,128,9.03107e-06,0.296977,10
1,44,p1,94,8.84959e-06,0.157223,10
1,45,p1,127,9.38372e-06,0.385741,10
1,46,p1,158,8.31918e-06,0.417478,10
1,47,p1,117,1.01012e-05,0.467324,10
1,48,p1,142,1.06534e-05,0.383349,10
1,49,p1,140,1.04696e-05,0.438062,10
1,50,p1,157,1.03633e-05,0.39029,10
1,51,p1,91,1.05247e-05,0.316925,10
1,52,p1,166,1.06529e-05,0.370954,10
1,53,p1,152,1.25115e-05,0.667145,10
1,54,p1,170,1.15296e-05,0.428245,10
1,55,p1,90,1.37469e-05,0.397771,10
1,56,p1,121,1.39215e-05,0.617496,10
1,57,p1,180,1.30085e-05,0.459038,10
1,58,p1,157,1.51791e-05,0.500241,10
1,59,p1,120,1.48771e-05,0.711218,10
1,60,p1,141,1.54844e-05,0.672154,10
1,61,p1,111,1.56343e-05,0.718844,10
1,62,p1,151,1.57971e-05,0.632885,10
1,63,p1,114,1.62396e-05,0.944341,10
1,64,p1,149,1.60936e-05,1.0195,10
1,65,p1,151,1.6005e-05,1.11778,10
1,66,p1,132,1.4839e-05,1.0958,10
1,67,p1,156,1.60158e-05,1.25658,10
1,68,p1,123,1.60275e-05,1.01991,10
1,69,p1,124,1.57502e-05,1.01708,10
1,70,p1,158,1.75296e-05,1.26775,10
1,71,p1,117,1.62905e-05,1.07244,10
1,72,p1,139,1.74093e-05,1.08619,10
1,73,p1,111,1.67685e-05,0.975983,10
1,74,p1,129,1.9144e-05,1.00665,10
1,75,p1,149,1.89555e-05,0.793865,10
1,76,p1,127,1.95803e-05,0.397162,10
1,77,p1,100,2.04345e-05,0.649643,10
1,78,p1,130,2.15396e-05,0.594613,10
1,79,p1,176,2.0999e-05,0.52133,10
1,80,p1,108,1.85125e-05,0.419245,10
1,81,p1,112,1.84355e-05,0.429872,10
1,82,p1,205,1.82916e-05,0.333206,10
1,83,p1,147,1.79444e-05,0.526694,10
1,84,p1,111,2.10093e-05,0.456631,10
1,85,p1,137,2.14793e-05,0.398089,10
1,86,p1,115,2.07467e-05,0.543699,10
1,87,p1,120,2.04302e-05,0.62413,10
1,88,p1,123,1.85194e-05,0.45049,10
1,89,p1,128,2.05399e-05,0.606673,10
1,90,p1,179,2.27675e-05,0.58031,10
1,91,p1,126,2.25211e-05,0.580799,10
1,92,p1,123,2.40389e-05,0.577595,10
1,93,p1,139,2.4375e-05,0.514023,10
1,94,p1,111,2.39843e-05,0.461218,10
1,95,p1,128,2.44424e-05,0.355613,10
1,96,p1,185,2.34656e-05,0.265222,10
1,97,p1,136,2.35156e-05,0.132363,10
1,98,p1,117,2.42717e-05,0.149719,10
1,99,p1,145,2.44312e-05,0.0389743,10
1,100,p1,175,2.37275e-05,0.227978,10
1,101,p1,82,2.32637e-05,0.0925988,10
1,102,p1,139,2.26673e-05,0.00182286,10
1,103,p1,215,2.46607e-05,0.216705,10
1,104,p1,97,2.23515e-05,0.137835,10
1,105,p1,121,2.35592e-05,0.0221129,10
1,106,p1,171,2.52654e-05,0.17737,10
1,107,p1,100,2.5548e-05,0.113908,10
1,108,p1,122,2.47192e-05,-0.134587,10
1,109,p1,188,2.49018e-05,0.0131992,10
1,110,p1,128,2.50275e-05,-0.275058,10
1,111,p1,135,1.87495e-05,-0.196585,10
1,112,p1,82,2.11043e-05,-0.340063,10
1,113,p1,145,2.14918e-05,-0.380075,10
1,114,p1,122,2.01132e-05,-0.692486,10
1,115,p1,163,2.04712e-05,-0.795467,10
1,116,p1,131,1.95283e-05,-0.690207,10
1,117,p1,134,1.79667e-05,-0.729981,10
1,118,p1,161,1.95041e-05,-0.95634,10
1,119,p1,107,2.31846e-05,-0.979891,10
1,120,p1,171,2.21778e-05,-0.879056,10
1,121,p1,149,2.06121e-05,-0.646122,10
1,122,p1,95,1.96825e-05,-0.721871,10
1,123,p1,149,2.02356e-05,-0.81343,10
1,124,p1,165,1.43122e-05,-0.602173,10
1,125,p1,104,2.2604e-05,-0.991754,10
1,126,p1,141,1.9294e-05,-0.853351,10
1,127,p1,136,2.02338e-05,-0.82172,10
1,128,p1,146,1.99845e-05,-0.769849,10
1,129,p1,131,1.97518e-05,-0.410329,10
1,130,p1,152,2.03415e-05,-0.417048,10
1,131,p1,142,2.38165e-05,-0.293324,10
1,132,p1,154,2.15776e-05,-0.356565,10
1,133,p1,102,2.54051e-05,-0.436635,10
1,134,p1,144,2.47577e-05,-0.46459,10
1,135,p1,125,2.13331e-05,-0.523635,10
1,136,p1,102,2.21391e-05,-0.237483,10
1,137,p1,139,1.87322e-05,-0.604012,10
1,138,p1,109,2.00707e-05,-0.704654,10
1,139,p1,106,1.71836e-05,-0.682629,10
1,140,p1,189,1.64427e-05,-0.599719,10
1,141,p1,147,2.03667e-05,-0.791227,10
1,142,p1,139,1.79634e-05,-0.788278,10
1,143,p1,183,1.8636e-05,-0.97605,10
1,144,p1,97,1.53401e-05,-0.795285,10
1,145,p1,122,1.29948e-05,-0.706326,10
1,146,p1,185,1.53072e-05,-0.716175,10
1,147,p1,118,2.0465e-05,-0.568473,10
1,148,p1,114,2.07614e-05,-0.587393,10
1,149,p1,191,1.77077e-05,-0.549499,10
1,150,p1,127,2.35021e-05,-0.766228,10
1,151,p1,123,2.16449e-05,-0.561119,10
1,152,p1,158,1.89347e-05,-0.574081,10
1,153,p1,108,2.06503e-05,-0.5032,10
1,154,p1,113,2.29795e-05,-0.38646,10
1,155,p1,134,2.24223e-05,-0.111507,10
1,156,p1,194,2.52094e-05,-0.169259,10
1,157,p1,113,2.18995e-05,-0.334268,10
1,158,p1,155,2.23865e-05,-0.397411,10
1,159,p1,98,2.74167e-05,-0.491043,10
1,160,p1,143,2.68417e-05,-0.301826,10
1,161,p1,176,2.72232e-05,-0.492129,10
1,162,p1,134,2.43548e-05,-0.669249,10
1,163,p1,124,2.64614e-05,-0.54132,10
1,164,p1,108,2.83843e-05,-0.831022,10
1,165,p1,118,2.59286e-05,-0.61678,10
1,166,p1,143,2.78322e-05,-0.267512,10
1,167,p1,158,2.5851e-05,-0.25935,10
1,168,p1,87,2.53937e-05,-0.261242,10
1,169,p1,121,2.49566e-05,0.143298,10
1,170,p1,142,2.67211e-05,-0.0258849,10
1,171,p1,126,2.73016e-05,0.00213485,10
1,172,p1,138,2.81152e-05,0.190426,10
1,173,p1,130,3.01882e-05,0.317285,10
1,174,p1,107,2.98354e-05,0.311706,10
1,175,p1,149,2.84755e-05,0.262727,10
1,176,p1,126,2.82426e-05,0.669235,10
1,177,p1,90,2.91975e-05,0.484682,10
1,178,p1,143,2.73378e-05,0.62461,10
1,179,p1,189,2.86162e-05,0.597272,10
1,180,p1,132,3.27608e-05,0.832522,10
1,181,p1,113,3.13705e-05,0.94043,10
1,182,p1,134,3.15697e-05,1.20327,10
1,183,p1,149,3.07815e-05,1.14035,10
1,184,p1,140,3.27574e-05,1.26937,10
1,185,p1,106,3.33495e-05,1.25893,10
1,186,p1,135,3.02472e-05,1.01727,10
1,187,p1,167,3.36914e-05,1.28933,10
1,188,p1,66,3.13085e-05,1.09484,10
1,189,p1,128,3.1322e-05,1.15438,10
1,190,p1,144,3.28622e-05,1.14695,10
1,191,p1,133,3.40941e-05,1.20661,10
1,192,p1,134,3.43022e-05,1.39994,10
1,193,p1,180,3.57806e-05,1.43898,10
1,194,p1,144,3.60388e-05,1.70859,10
1,195,p1,161,3.31268e-05,1.32809,10
1,196,p1,157,3.39373e-05,1.56824,10
1,197,p1,144,3.59269e-05,1.67439,10
1,198,p1,105,3.42014e-05,1.47907,10
1,199,p1,123,3.42194e-05,1.47364,10
1,200,p1,186,3.32791e-05,1.37844,10
1,201,p1,166,3.46904e-05,1.48804,10
