replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,5050,p3,140,2.52115e-05,-11.8684,-50
1,5100,p3,144,2.97982e-05,-11.8381,-50
1,5150,p3,150,3.22076e-05,-15.3077,-50
1,5200,p3,105,3.52853e-05,-16.4415,-50
1,5250,p3,134,2.5753e-05,-17.5622,-50
1,5300,p3,140,4.19071e-05,-16.0127,-50
1,5350,p3,106,4.76339e-05,-17.2165,-50
1,5400,p3,108,5.1962e-05,-16.8038,-50
1,5450,p3,145,6.91215e-05,-15.4777,-50
1,5500,p3,131,6.38934e-05,-18.0675,-50
1,5550,p3,177,2.89936e-05,-16.7416,-50
1,5600,p3,161,3.30799e-05,-14.4694,-50
