replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,5011,p3,20,5.4225e-05,18.7609,-50
1,5011,p3,20,5.4225e-05,18.7609,-50
1,5012,p3,40,5.21437e-05,18.2868,-50
1,5012,p3,40,5.21437e-05,18.2868,-50
1,5013,p3,60,5.23153e-05,17.9238,-50
1,5013,p3,51,5.22568e-05,17.8903,-50
1,5014,p3,116,5.54611e-05,17.9913,-50
1,5014,p3,105,5.63456e-05,18.0304,-50
1,5015,p3,237,5.72084e-05,17.741,-50
1,5015,p3,191,5.65785e-05,17.6511,-50
1,5016,p3,338,5.63825e-05,17.4478,-50
1,5016,p3,193,5.58906e-05,17.268,-50
1,5017,p3,305,5.56422e-05,17.4446,-50
1,5017,p3,160,5.42893e-05,17.4418,-50
1,5011,p3,20,4.355e-05,-18.8251,-30
1,5011,p3,20,4.355e-05,-18.8251,-30
1,5012,p3,40,4.0675e-05,-19.1902,-30
1,5012,p3,40,4.0675e-05,-19.1902,-30
1,5013,p3,60,3.87569e-05,-19.1908,-30
1,5013,p3,60,3.87569e-05,-19.1908,-30
1,5014,p3,145,3.86992e-05,-18.9354,-30
1,5014,p3,142,3.84212e-05,-18.9735,-30
1,5018,p3,249,5.66352e-05,17.4892,-50
1,5018,p3,135,5.70516e-05,17.4124,-50
1,5019,p3,264,5.72608e-05,17.2445,-50
1,5019,p3,180,5.49043e-05,17.1566,-50
1,5020,p3,367,5.472e-05,17.1922,-50
1,5020,p3,237,5.45095e-05,17.2242,-50
1,5015,p3,281,4.03441e-05,-19.0992,-30
1,5015,p3,227,3.99203e-05,-19.2721,-30
1,5021,p3,361,5.52107e-05,17.2231,-50
1,5021,p3,164,5.49044e-05,17.1584,-50
1,5022,p3,276,5.44431e-05,17.0774,-50
1,5022,p3,159,5.38272e-05,17.0385,-50
1,5016,p3,448,4.02231e-05,-19.2522,-30
1,5016,p3,325,3.86095e-05,-19.4231,-30
1,5023,p3,252,5.38967e-05,16.8934,-50
1,5023,p3,133,5.4788e-05,16.7509,-50
1,5024,p3,217,5.79462e-05,16.4235,-50
1,5024,p3,136,6.04671e-05,16.1789,-50
1,5025,p3,248,5.81692e-05,16.1752,-50
1,5025,p3,166,5.68172e-05,16.2723,-50
1,5026,p3,313,5.63318e-05,16.5055,-50
1,5026,p3,202,5.68854e-05,16.6793,-50
1,5027,p3,302,5.78626e-05,16.8004,-50
1,5027,p3,141,5.93954e-05,16.7579,-50
1,5028,p3,217,6.05992e-05,16.6838,-50
1,5028,p3,119,6.16146e-05,16.3022,-50
1,5011,p3,20,2.765e-05,11.5694,-100
1,5011,p3,20,2.765e-05,11.5694,-100
1,5029,p3,237,6.22661e-05,16.2378,-50
1,5029,p3,174,6.15263e-05,16.158,-50
1,5030,p3,335,6.42973e-05,16.3797,-50
1,5017,p3,621,3.84782e-05,-19.3297,-30
1,5030,p3,221,6.49313e-05,16.3578,-50
1,5017,p3,409,3.73521e-05,-19.4429,-30
1,5031,p3,346,6.3513e-05,16.2697,-50
1,5018,p3,643,3.81735e-05,-19.5049,-30
1,5018,p3,341,3.76769e-05,-19.8144,-30
1,5031,p3,179,6.04391e-05,16.0151,-50
1,5012,p3,40,3.24969e-05,11.1832,-100
1,5012,p3,40,3.24969e-05,11.1832,-100
1,5032,p3,336,5.96121e-05,15.9215,-50
1,5032,p3,203,5.962e-05,15.8532,-50
1,5033,p3,318,5.94553e-05,15.6861,-50
1,5033,p3,163,5.98169e-05,15.5511,-50
1,5034,p3,222,5.88128e-05,15.5114,-50
1,5034,p3,109,5.87341e-05,15.4647,-50
1,5035,p3,227,6.05636e-05,15.5884,-50
1,5035,p3,174,6.20255e-05,15.7161,-50
1,5036,p3,320,6.30931e-05,15.4978,-50
1,5036,p3,197,6.22938e-05,15.3519,-50
1,5037,p3,308,6.34571e-05,15.2134,-50
1,5037,p3,156,6.3847e-05,15.1473,-50
1,5038,p3,236,6.34703e-05,15.2236,-50
1,5038,p3,130,6.26654e-05,15.379,-50
1,5019,p3,532,3.54011e-05,-19.9601,-30
1,5019,p3,303,3.05885e-05,-20.3402,-30
1,5020,p3,568,3.16833e-05,-20.3437,-30
1,5020,p3,397,3.12623e-05,-20.4758,-30
1,5039,p3,207,6.17878e-05,15.5357,-50
1,5039,p3,130,6.05982e-05,15.4744,-50
1,5040,p3,251,5.92326e-05,15.3261,-50
1,5040,p3,178,5.88482e-05,15.1484,-50
1,5041,p3,290,5.8838e-05,15.1516,-50
1,5041,p3,163,5.80398e-05,15.2238,-50
1,5042,p3,279,5.89667e-05,15.2333,-50
1,5013,p3,60,3.7975e-05,10.7138,-100
1,5013,p3,58,3.83026e-05,10.6576,-100
1,5014,p3,152,3.37851e-05,11.1179,-100
1,5014,p3,144,3.27505e-05,11.2156,-100
1,5042,p3,166,5.95384e-05,15.2532,-50
1,5043,p3,291,6.05272e-05,15.1382,-50
1,5043,p3,180,6.01818e-05,14.9795,-50
1,5044,p3,315,6.19553e-05,15.199,-50
1,5044,p3,190,6.29573e-05,15.3969,-50
1,5045,p3,306,6.20558e-05,15.2162,-50
1,5045,p3,157,5.91933e-05,14.9528,-50
1,5046,p3,274,5.86955e-05,14.9674,-50
1,5046,p3,164,5.82473e-05,14.9714,-50
1,5047,p3,254,5.73755e-05,14.9409,-50
