gen,pop-id, pop-size, hetero., mean-phenotype, optimal-phenotype
140,p1,155,2.27694e-05,-0.371265,10
141,p1,143,2.1571e-05,-0.618231,10
142,p1,110,2.09698e-05,-0.951482,10
143,p1,123,2.20249e-05,-0.745847,10
144,p1,194,2.22983e-05,-0.937598,10
145,p1,116,2.07183e-05,-0.912379,10
146,p1,134,1.75821e-05,-0.725602,10
147,p1,125,1.61642e-05,-0.974609,10
148,p1,158,1.67968e-05,-0.721573,10
149,p1,160,1.76271e-05,-0.713166,10
150,p1,159,1.89573e-05,-0.609072,10
151,p1,143,1.89437e-05,-1.26783,10
152,p1,134,2.03088e-05,-1.10766,10
153,p1,93,2.03156e-05,-0.994356,10
154,p1,142,2.22208e-05,-0.957317,10
155,p1,150,1.95816e-05,-1.15529,10
156,p1,142,2.06931e-05,-1.10472,10
157,p1,115,2.02261e-05,-1.18831,10
158,p1,136,2.19877e-05,-1.0171,10
159,p1,153,2.27701e-05,-0.777958,10
160,p1,137,2.37978e-05,-0.894553,10
161,p1,94,2.27756e-05,-0.557069,10
162,p1,188,2.42918e-05,-0.538654,10
163,p1,161,2.39346e-05,-0.588934,10
164,p1,120,2.39781e-05,-0.533975,10
165,p1,153,2.55022e-05,-0.804338,10
166,p1,183,2.67058e-05,-0.853377,10
167,p1,88,2.74877e-05,-0.961713,10
168,p1,98,2.72553e-05,-0.683522,10
169,p1,159,2.28215e-05,-0.838617,10
170,p1,116,2.33212e-05,-0.875178,10
171,p1,161,2.17958e-05,-0.779576,10
172,p1,147,2.12553e-05,-0.708368,10
173,p1,138,1.92457e-05,-0.636476,10
174,p1,108,1.98392e-05,-0.699281,10
175,p1,154,1.71125e-05,-0.509311,10
176,p1,110,1.75029e-05,-0.530516,10
177,p1,121,1.61522e-05,-0.386718,10
178,p1,157,1.89716e-05,-0.534993,10
179,p1,147,1.76031e-05,-0.579509,10
180,p1,140,1.80536e-05,-0.524399,10
181,p1,141,1.60115e-05,-0.689101,10
182,p1,173,1.69615e-05,-0.615808,10
183,p1,122,1.60468e-05,-0.397233,10
184,p1,97,1.53672e-05,-0.49903,10
185,p1,150,1.7086e-05,-0.515949,10
186,p1,142,1.62512e-05,-0.667596,10
187,p1,135,1.74996e-05,-0.798712,10
188,p1,118,1.91917e-05,-0.535656,10
189,p1,118,1.85191e-05,-0.73866,10
190,p1,129,1.90971e-05,-0.924604,10
191,p1,193,1.79573e-05,-0.922075,10
192,p1,143,2.41337e-05,-0.833182,10
193,p1,122,2.26219e-05,-0.464635,10
194,p1,147,2.43729e-05,-0.429202,10
195,p1,163,2.10164e-05,-0.313767,10
196,p1,116,2.27906e-05,-0.522494,10
197,p1,133,2.20487e-05,-0.288207,10
198,p1,155,2.34452e-05,-0.203419,10
199,p1,153,2.34369e-05,-0.392255,10
200,p1,156,2.23268e-05,-0.527792,10
201,p1,122,2.97521e-05,0.00529376,10
202,p1,108,2.88807e-05,0.255652,10
203,p1,181,2.75439e-05,0.0460689,10
204,p1,137,2.75204e-05,-0.0589778,10
205,p1,125,2.95965e-05,0.267936,10
206,p1,100,2.8088e-05,0.340354,10
207,p1,160,2.95998e-05,0.218071,10
208,p1,111,3.21622e-05,-0.0297702,10
209,p1,112,3.5006e-05,-0.0405917,10
210,p1,121,3.24742e-05,0.173805,10
211,p1,122,3.34604e-05,-0.0525689,10
212,p1,149,3.66893e-05,-0.0504612,10
213,p1,94,3.42734e-05,-0.257199,10
214,p1,116,3.40989e-05,-0.320512,10
215,p1,181,3.55496e-05,-0.647962,10
216,p1,160,3.68676e-05,-0.264649,10
217,p1,115,3.49342e-05,-0.185168,10
218,p1,127,3.01206e-05,-0.624288,10
219,p1,114,2.88504e-05,-0.735138,10
220,p1,133,2.77039e-05,-0.898206,10
221,p1,176,2.9175e-05,-0.740132,10
222,p1,122,2.85723e-05,-0.894763,10
223,p1,112,2.85001e-05,-1.08461,10
