replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,5050,p3,363,0.00802165,-14.5874,-20
1,5100,p3,878,0.00782782,-20.2623,-20
1,5150,p3,1001,0.0095177,-21.3089,-20
1,5200,p3,974,0.00977052,-19.9946,-20
1,5250,p3,952,0.0106125,-18.8027,-20
1,5300,p3,926,0.0107153,-20.2663,-20
1,5350,p3,1048,0.010747,-20.7006,-20
1,5400,p3,955,0.0114717,-20.6076,-20
1,5450,p3,1033,0.0117764,-20.9126,-20
1,5500,p3,911,0.0115836,-19.8737,-20
1,5550,p3,1035,0.0114413,-21.4435,-20
1,5600,p3,904,0.0118784,-20.8112,-20
